result
     ENTRY_TS     | GROUPID | PLANS_STARTED | PLANS_FINISHED | PLANS_WAITING_LONG | PLANS_WAITING_SHORT | PLANS_RUNNING_LONG | PLANS_RUNNING_SHORT | TARGET_JOB_MAX | TARGET_RSG_PCT | TARGET_RSG_MAX | ACTUAL_RSG_PCT | ACTUAL_RSG_PCT_SAMPLE | ACTUAL_JOB_MAX | ALLOWED_RSG_PCT | ALLOWED_RSG_PCT_SAMPLE | EXPECTED_RSG_PCT | EXPECTED_RSG_PCT_SAMPLE | RSG_HORIZON_US | COMPLIANCE | SAMPLE_SECS | BUSY_SECS | HOST_CPU_SECS | HOST_DISK_READ_SECS | HOST_DISK_WRITE_SECS | HOST_FABRIC_SECS | SPU_CPU_SECS | SPU_DISK_READ_SECS | SPU_DISK_WRITE_SECS | SPU_FABRIC_SECS | SPU_DATA_DISK_READ_SECS | SPU_DATA_DISK_WRITE_SECS | SPU_TEMP_DISK_READ_SECS | SPU_TEMP_DISK_WRITE_SECS 
 1584518169956752 | 6808625 |           174 |            157 |              0.001 |                   0 |              13.33 |               3.909 |              0 |             10 |            100 |             12 |                   100 |             18 |              12 |                    100 |               10 |                      79 |       72000000 |          4 |          60 |        60 |          0.22 |                   0 |                    0 |                0 |        50.43 |              27.03 |                3.25 |            1.56 |                   27.03 |                     3.25 |                       0 |                        0
 1584518229956981 | 6808625 |           225 |            209 |              0.001 |                   0 |             14.615 |               2.163 |              0 |             10 |            100 |             16 |                   100 |             17 |              16 |                    100 |               13 |                      62 |       96000000 |          4 |          60 |        60 |          0.22 |                   0 |                    0 |                0 |         45.9 |              36.74 |                4.51 |            1.69 |                   36.74 |                     4.51 |                       0 |                        0
 1584518289956863 | 6808625 |           276 |            260 |              0.001 |                   0 |             15.412 |               2.564 |              0 |             10 |            100 |             20 |                   100 |             20 |              20 |                    100 |               16 |                      59 |      120000000 |          4 |          60 |        60 |          0.26 |                   0 |                    0 |                0 |        40.54 |              28.47 |                7.74 |            2.72 |                   28.47 |                     7.74 |                       0 |                        0
 1584518349957108 | 6808625 |           309 |            297 |              0.001 |                   0 |             12.339 |               1.762 |              0 |             10 |            100 |             24 |                   100 |             16 |              24 |                    100 |               18 |                      66 |      144000000 |          4 |          60 |        60 |          0.25 |                   0 |                    0 |                0 |        53.51 |              17.94 |                1.45 |            1.08 |                   17.94 |                     1.45 |                       0 |                        0
 1584518409957270 | 6808625 |           336 |            322 |                  0 |                   0 |             10.355 |               0.085 |              0 |             10 |            100 |             28 |                   100 |             14 |              28 |                    100 |               20 |                      31 |      168000000 |          4 |          60 |        60 |          0.11 |                   0 |                    0 |                0 |        33.79 |              27.22 |                6.12 |            0.55 |                   27.22 |                     6.12 |                       0 |                        0
 1584518469956662 | 6808625 |           400 |            384 |              1.169 |               0.174 |             10.694 |               5.154 |              0 |             10 |            100 |             32 |                   100 |             20 |              32 |                    100 |               23 |                      79 |      192000000 |          4 |          60 |        60 |           0.3 |                   0 |                    0 |                0 |        33.06 |              27.38 |                1.75 |            2.84 |                   27.38 |                     1.75 |                       0 |                        0
 1584518529956567 | 6808625 |           446 |            432 |              0.209 |               0.135 |              8.724 |               5.227 |              0 |             10 |            100 |             36 |                   100 |             17 |              36 |                    100 |               26 |                     100 |      216000000 |          4 |          60 |        60 |          0.28 |                   0 |                    0 |                0 |        56.85 |               17.8 |                0.26 |            2.22 |                    17.8 |                     0.26 |                       0 |                        0
 1584518592308638 | 6808625 |           506 |            486 |              1.513 |               0.034 |             13.369 |               0.979 |              0 |             10 |            100 |             40 |                   100 |             20 |              40 |                    100 |               29 |                     100 |      240000000 |          4 |       62.35 |     62.35 |          0.27 |                   0 |                    0 |                0 |        51.42 |              30.53 |                0.06 |            0.36 |                   30.53 |                     0.06 |                       0 |                        0
 1584518652308967 | 6808625 |           542 |            522 |              0.141 |                   0 |             12.129 |               7.661 |              0 |             10 |            100 |             44 |                   100 |             20 |              44 |                    100 |               33 |                      92 |      264000000 |          4 |          60 |        60 |          0.23 |                   0 |                    0 |                0 |        57.64 |              27.78 |                3.84 |            2.54 |                   27.78 |                     3.84 |                       0 |                        0
 1584518716996906 | 6808625 |           625 |            605 |              0.027 |                   0 |              9.793 |                8.76 |              0 |             10 |            100 |             48 |                   100 |             20 |              48 |                    100 |               36 |                      99 |      288000000 |          4 |       64.69 |     64.69 |           0.3 |                   0 |                    0 |                0 |        49.79 |              22.83 |                3.24 |            2.12 |                   22.83 |                     3.24 |                       0 |                        0
