result
     ENTRY_TS     | HOST_CPU | HOST_DISK | HOST_FABRIC | HOST_MEMORY | SPU_CPU | SPU_DISK | SPU_FABRIC | SPU_MEMORY | MAX_SPU_CPU | MAX_SPU_DISK | MAX_SPU_FABRIC | MAX_SPU_MEMORY | SPU_TEMP_DISK | MAX_SPU_TEMP_DISK | SPU_TEMP_DISK_PAGES_ALLOCATED | MAX_SPU_TEMP_DISK_PAGES_ALLOCATED 
 1584519748244387 |     0.02 |      0.01 |           0 |        0.04 |     0.9 |     0.73 |       0.38 |       0.31 |        0.98 |         0.84 |           0.43 |           0.38 |             0 |                 0 |                          0.05 |                              0.07
 1584519808244461 |     0.02 |      0.03 |        0.01 |        0.04 |    0.87 |     0.69 |       0.12 |       0.22 |        0.96 |         0.78 |           0.15 |           0.28 |             0 |                 0 |                          0.03 |                              0.04
 1584519868244816 |     0.02 |      0.01 |        0.01 |        0.04 |    0.82 |     0.55 |       0.18 |       0.21 |        0.86 |         0.61 |            0.2 |           0.26 |             0 |                 0 |                          0.01 |                              0.02
 1584519928245028 |     0.02 |      0.01 |           0 |        0.04 |    0.66 |     0.67 |       0.33 |       0.17 |        0.78 |         0.83 |           0.36 |            0.2 |             0 |              0.01 |                             0 |                                 0
 1584519988244709 |     0.03 |      0.01 |        0.02 |        0.04 |    0.74 |      0.3 |       0.15 |       0.26 |        0.98 |         0.36 |           0.26 |           0.34 |             0 |                 0 |                             0 |                              0.01
 1584520048244692 |     0.02 |      0.02 |        0.01 |        0.04 |    0.48 |     0.64 |       0.08 |       0.14 |        0.58 |         0.79 |           0.09 |           0.16 |             0 |                 0 |                             0 |                                 0
 1584520108245210 |     0.02 |         0 |        0.01 |        0.04 |    0.75 |     0.82 |       0.34 |       0.22 |        0.87 |         0.95 |           0.38 |           0.27 |             0 |                 0 |                          0.01 |                              0.01
 1584520168244600 |     0.02 |      0.01 |        0.02 |        0.04 |    0.84 |     0.62 |       0.21 |       0.22 |         0.9 |         0.78 |           0.23 |           0.25 |             0 |                 0 |                          0.01 |                              0.01
 1584520229625401 |     0.02 |      0.02 |        0.01 |        0.04 |    0.84 |     0.57 |       0.25 |       0.32 |           1 |         0.68 |           0.28 |           0.43 |             0 |                 0 |                          0.01 |                              0.02
 1584520289626949 |     0.02 |      0.01 |           0 |        0.04 |    0.89 |     0.49 |       0.57 |        0.5 |           1 |          0.7 |           0.65 |           0.63 |             0 |                 0 |                          0.04 |                              0.05
 1584520351407296 |     0.03 |      0.02 |        0.01 |        0.04 |    0.81 |      0.5 |       0.23 |       0.33 |        0.95 |         0.64 |           0.26 |           0.44 |             0 |                 0 |                           0.1 |                              0.14
 1584520411435591 |     0.02 |      0.01 |        0.01 |        0.04 |    0.81 |     0.62 |       0.09 |       0.21 |        0.96 |         0.76 |            0.1 |           0.27 |             0 |                 0 |                          0.01 |                              0.02
 1584520471434918 |     0.02 |      0.01 |           0 |        0.04 |     0.8 |     0.73 |       0.23 |       0.21 |        0.92 |         0.87 |           0.26 |           0.25 |             0 |                 0 |                          0.02 |                              0.02
 1584520531434698 |     0.02 |         0 |           0 |        0.04 |    0.84 |     0.51 |        0.6 |       0.45 |        0.98 |         0.76 |           0.67 |           0.54 |             0 |                 0 |                          0.04 |                              0.05
 1584520591435431 |     0.02 |      0.02 |           0 |        0.04 |    0.81 |     0.64 |       0.29 |       0.29 |        0.94 |         0.72 |           0.34 |           0.36 |             0 |                 0 |                          0.07 |                              0.12
 1584520651435079 |     0.02 |      0.02 |           0 |        0.04 |     0.8 |     0.89 |       0.25 |       0.16 |        0.88 |         0.99 |            0.3 |           0.19 |             0 |                 0 |                          0.01 |                              0.01
 1584520711434829 |     0.02 |      0.03 |        0.01 |        0.04 |    0.81 |     0.66 |       0.32 |       0.18 |        0.91 |         0.75 |           0.36 |           0.21 |             0 |                 0 |                          0.02 |                              0.02
 1584520771435504 |     0.02 |      0.01 |           0 |        0.04 |    0.72 |     0.67 |       0.16 |       0.19 |        0.89 |         0.76 |           0.18 |           0.24 |             0 |                 0 |                          0.01 |                              0.01
 1584520833473810 |     0.02 |      0.01 |           0 |        0.04 |    0.38 |     0.58 |       0.12 |       0.13 |        0.44 |         0.86 |           0.14 |           0.15 |             0 |                 0 |                             0 |                                 0
 1584520893473466 |     0.01 |         0 |           0 |        0.04 |    0.61 |     0.87 |       0.89 |       0.44 |        0.68 |            1 |           0.95 |           0.49 |             0 |                 0 |                          0.01 |                              0.01
 1584520953806236 |     0.04 |      0.02 |        0.05 |        0.04 |    0.89 |     0.45 |       0.23 |       0.31 |        0.96 |         0.57 |            0.3 |           0.38 |             0 |                 0 |                             0 |                                 0
 1584521013806542 |     0.02 |         0 |        0.02 |        0.04 |    0.86 |     0.42 |       0.08 |       0.38 |           1 |         0.54 |           0.09 |           0.53 |             0 |                 0 |                             0 |                                 0
 1584521073806321 |     0.03 |      0.01 |        0.02 |        0.04 |    0.82 |     0.79 |       0.23 |       0.25 |        0.97 |         0.94 |           0.26 |           0.32 |             0 |                 0 |                          0.01 |                              0.01
 1584521133806192 |     0.03 |      0.01 |        0.03 |        0.04 |    0.94 |     0.81 |       0.28 |       0.36 |           1 |         0.91 |            0.3 |           0.44 |          0.01 |              0.01 |                          0.02 |                              0.02
 1584521193806100 |     0.02 |      0.01 |        0.01 |        0.04 |    0.89 |     0.59 |       0.31 |       0.63 |        0.99 |         0.86 |           0.37 |           0.85 |          0.35 |              0.64 |                          0.03 |                              0.04
 1584521253806248 |     0.02 |         0 |        0.02 |        0.04 |    0.88 |     0.57 |        0.2 |       0.54 |        0.98 |         0.89 |           0.22 |            0.8 |          0.41 |               0.8 |                          0.03 |                              0.05
 1584521313806487 |     0.02 |      0.04 |           0 |        0.04 |    0.78 |     0.51 |       0.09 |       0.44 |           1 |         0.72 |           0.09 |           0.78 |          0.23 |              0.59 |                          0.02 |                              0.04
 1584521373806696 |     0.02 |      0.01 |           0 |        0.04 |    0.75 |     0.73 |       0.15 |       0.31 |           1 |         0.92 |           0.17 |           0.51 |          0.05 |              0.27 |                          0.01 |                              0.02
 1584521433806592 |     0.02 |      0.02 |           0 |        0.04 |    0.79 |     0.82 |       0.25 |        0.2 |        0.95 |         0.96 |           0.27 |           0.27 |          0.01 |              0.01 |                          0.01 |                              0.02
 1584521493806281 |     0.02 |      0.01 |           0 |        0.04 |     0.8 |     0.78 |       0.35 |       0.27 |        0.91 |         0.93 |            0.4 |           0.32 |             0 |                 0 |                          0.04 |                              0.05
 1584521553806116 |     0.02 |      0.01 |           0 |        0.04 |     0.8 |     0.65 |       0.41 |       0.28 |        0.95 |         0.82 |           0.45 |           0.35 |             0 |                 0 |                          0.03 |                              0.05
 1584521613806458 |     0.02 |      0.02 |           0 |        0.04 |    0.84 |     0.57 |       0.28 |       0.26 |        0.98 |          0.7 |           0.32 |           0.34 |             0 |                 0 |                          0.04 |                              0.08
(61 rows)

